num_cores,num_samples,runtime_100_samples,runtime
2,1.00E+06,1.879454851,4840.637292
4,1.00E+06,1.879454851,2871.488948
8,1.00E+06,1.879454851,1464.08524
16,1.00E+06,1.879454851,662.7663956
2,1.00E+05,1.879454851,488.989748
4,1.00E+05,1.879454851,292.5451083
8,1.00E+05,1.879454851,146.630383
16,1.00E+05,1.879454851,67.22528744
2,1.00E+04,1.879454851,49.24777031
4,1.00E+04,1.879454851,29.59850049
8,1.00E+04,1.879454851,14.76236892
16,1.00E+04,1.879454851,6.805659056
2,1.00E+03,1.879454851,4.942566872
4,1.00E+03,1.879454851,2.570210934
8,1.00E+03,1.879454851,1.510870218
16,1.00E+03,1.879454851,0.681461573
2,1.00E+06,3.576704502,6991.301654
4,1.00E+06,3.576704502,4908.805243
8,1.00E+06,3.576704502,2480.093327
16,1.00E+06,3.576704502,1250.904833
2,1.00E+05,3.576704502,698.3221347
4,1.00E+05,3.576704502,491.0632958
8,1.00E+05,3.576704502,248.8398058
16,1.00E+05,3.576704502,125.0998204
2,1.00E+04,3.576704502,69.96339059
4,1.00E+04,3.576704502,49.12584376
8,1.00E+04,3.576704502,24.9676764
16,1.00E+04,3.576704502,12.559201
2,1.00E+03,3.576704502,7.037170172
4,1.00E+03,3.576704502,5.018335581
8,1.00E+03,3.576704502,2.864103556
16,1.00E+03,3.576704502,1.297985792
2,1.00E+06,4.731225729,12803.74822
4,1.00E+06,4.731225729,7798.876486
8,1.00E+06,4.731225729,3787.719636
16,1.00E+06,4.731225729,1718.740843
2,1.00E+05,4.731225729,1284.841673
4,1.00E+05,4.731225729,782.6297615
8,1.00E+05,4.731225729,379.0648715
16,1.00E+05,4.731225729,167.9094496
2,1.00E+04,4.731225729,129.0204551
4,1.00E+04,4.731225729,73.97694683
8,1.00E+04,4.731225729,37.79703355
16,1.00E+04,4.731225729,16.8008008
2,1.00E+03,4.731225729,12.42591166
4,1.00E+03,4.731225729,7.579925299
8,1.00E+03,4.731225729,3.823233366
16,1.00E+03,4.731225729,1.417771816
2,1.00E+06,7.587954521,20882.5179
4,1.00E+06,7.587954521,11155.22507
8,1.00E+06,7.587954521,4460.781426
16,1.00E+06,7.587954521,2710.086044
2,1.00E+05,7.587954521,2100.247777
4,1.00E+05,7.587954521,1113.881453
8,1.00E+05,7.587954521,446.6800056
16,1.00E+05,7.587954521,270.9825337
2,1.00E+04,7.587954521,208.8930502
4,1.00E+04,7.587954521,109.1529236
8,1.00E+04,7.587954521,44.95353031
16,1.00E+04,7.587954521,27.15101123
2,1.00E+03,7.587954521,20.90404916
4,1.00E+03,7.587954521,10.72719812
8,1.00E+03,7.587954521,4.457613707
16,1.00E+03,7.587954521,3.004901409
2,1.00E+06,8.996448517,17803.70054
4,1.00E+06,8.996448517,14735.55651
8,1.00E+06,8.996448517,5276.803373
16,1.00E+06,8.996448517,3223.253283
2,1.00E+05,8.996448517,1778.112889
4,1.00E+05,8.996448517,1475.341331
8,1.00E+05,8.996448517,527.117795
16,1.00E+05,8.996448517,322.6552095
2,1.00E+04,8.996448517,177.7765253
4,1.00E+04,8.996448517,148.0067575
8,1.00E+04,8.996448517,52.81305671
16,1.00E+04,8.996448517,32.27575278
2,1.00E+03,8.996448517,18.15761852
4,1.00E+03,8.996448517,12.51795411
8,1.00E+03,8.996448517,6.453694344
16,1.00E+03,8.996448517,3.254997253
2,1.00E+06,11.17432475,22333.90151
4,1.00E+06,11.17432475,15745.25217
8,1.00E+06,11.17432475,6578.971094
16,1.00E+06,11.17432475,4025.372878
2,1.00E+05,11.17432475,2269.599057
4,1.00E+05,11.17432475,1574.548243
8,1.00E+05,11.17432475,658.4638169
16,1.00E+05,11.17432475,401.1471488
2,1.00E+04,11.17432475,224.5646725
4,1.00E+04,11.17432475,156.8182123
8,1.00E+04,11.17432475,65.48300004
16,1.00E+04,11.17432475,38.94144726
2,1.00E+03,11.17432475,29.14472795
4,1.00E+03,11.17432475,15.94697762
8,1.00E+03,11.17432475,6.484082699
16,1.00E+03,11.17432475,3.887335062
2,1.00E+06,12.5403254,24973.11871
4,1.00E+06,12.5403254,20987.73665
8,1.00E+06,12.5403254,7389.457083
16,1.00E+06,12.5403254,4439.702263
2,1.00E+05,12.5403254,2492.855061
4,1.00E+05,12.5403254,2180.356388
8,1.00E+05,12.5403254,738.1711872
16,1.00E+05,12.5403254,445.3705122
2,1.00E+04,12.5403254,245.8416748
4,1.00E+04,12.5403254,210.6664102
8,1.00E+04,12.5403254,73.57667398
16,1.00E+04,12.5403254,44.68512678
2,1.00E+03,12.5403254,25.29398537
4,1.00E+03,12.5403254,20.53468275
8,1.00E+03,12.5403254,8.869020939
16,1.00E+03,12.5403254,4.456537485
2,1.00E+06,15.08856964,29738.90236
4,1.00E+06,15.08856964,22505.52548
8,1.00E+06,15.08856964,8763.009086
16,1.00E+06,15.08856964,5287.456533
2,1.00E+05,15.08856964,2963.097867
4,1.00E+05,15.08856964,2255.582177
8,1.00E+05,15.08856964,872.6407254
16,1.00E+05,15.08856964,528.8294489
2,1.00E+04,15.08856964,292.7869616
4,1.00E+04,15.08856964,221.7034376
8,1.00E+04,15.08856964,86.57867265
16,1.00E+04,15.08856964,52.60416341
2,1.00E+03,15.08856964,30.05881453
4,1.00E+03,15.08856964,21.25083399
8,1.00E+03,15.08856964,7.752128363
16,1.00E+03,15.08856964,5.325115681
2,1.00E+06,17.66091681,53974.12844
4,1.00E+06,17.66091681,23799.10991
8,1.00E+06,17.66091681,9857.599535
16,1.00E+06,17.66091681,5868.986015
2,1.00E+04,17.66091681,498.5616171
4,1.00E+05,17.66091681,2378.713632
8,1.00E+05,17.66091681,984.9888659
16,1.00E+05,17.66091681,586.8196607
2,1.00E+03,17.66091681,46.43750358
4,1.00E+04,17.66091681,238.0360739
8,1.00E+04,17.66091681,99.91955161
16,1.00E+04,17.66091681,58.40405989
2,1.00E+05,17.66091681,5169.91346
4,1.00E+03,17.66091681,23.76794696
8,1.00E+03,17.66091681,11.82264137
16,1.00E+03,17.66091681,5.893042803
2,1.00E+06,19.2825222,51350.81168
4,1.00E+06,19.2825222,19313.46039
8,1.00E+06,19.2825222,13270.06402
16,1.00E+06,19.2825222,6593.566405
2,1.00E+05,19.2825222,5137.226681
4,1.00E+05,19.2825222,1919.457782
8,1.00E+05,19.2825222,1325.929461
16,1.00E+05,19.2825222,658.7134423
2,1.00E+04,19.2825222,509.1224031
4,1.00E+04,19.2825222,189.6811285
8,1.00E+04,19.2825222,131.7934203
16,1.00E+04,19.2825222,65.20474625
2,1.00E+03,19.2825222,52.14754486
4,1.00E+03,19.2825222,27.06299567
8,1.00E+03,19.2825222,14.97714162
16,1.00E+03,19.2825222,5.44232893
2,1.00E+06,21.52547431,56120.26374
4,1.00E+06,21.52547431,32808.39868
8,1.00E+06,21.52547431,14982.58397
16,1.00E+06,21.52547431,7377.434904
2,1.00E+05,21.52547431,5425.38975
4,1.00E+05,21.52547431,3306.004806
8,1.00E+05,21.52547431,1498.83686
16,1.00E+05,21.52547431,736.2237163
2,1.00E+04,21.52547431,539.4217172
4,1.00E+04,21.52547431,339.4140339
8,1.00E+04,21.52547431,149.7770927
16,1.00E+04,21.52547431,73.87230062
2,1.00E+03,21.52547431,59.85043645
4,1.00E+03,21.52547431,29.37984991
8,1.00E+03,21.52547431,14.76510286
16,1.00E+03,21.52547431,5.956068516
2,1.00E+06,22.74900651,64578.74341
4,1.00E+06,22.74900651,31043.11867
8,1.00E+06,22.74900651,16925.32122
16,1.00E+06,22.74900651,8024.54768
2,1.00E+05,22.74900651,6426.968367
4,1.00E+05,22.74900651,3027.322932
8,1.00E+05,22.74900651,1791.112419
16,1.00E+05,22.74900651,803.5223966
2,1.00E+04,22.74900651,630.7713907
4,1.00E+04,22.74900651,295.9120252
8,1.00E+04,22.74900651,178.676028
16,1.00E+04,22.74900651,79.72034144
2,1.00E+03,22.74900651,61.43407583
4,1.00E+03,22.74900651,31.71523833
8,1.00E+03,22.74900651,15.88336062
16,1.00E+03,22.74900651,8.032269478
2,1.00E+06,25.38911462,69000.41191
4,1.00E+06,25.38911462,34373.62951
8,1.00E+06,25.38911462,16929.5711
16,1.00E+06,25.38911462,8652.329772
2,1.00E+05,25.38911462,6836.228029
4,1.00E+05,25.38911462,3434.626754
8,1.00E+05,25.38911462,1694.438847
16,1.00E+05,25.38911462,867.3784065
2,1.00E+04,25.38911462,687.6634843
4,1.00E+04,25.38911462,341.026521
8,1.00E+04,25.38911462,168.217021
16,1.00E+04,25.38911462,85.88085961
2,1.00E+03,25.38911462,68.99267411
4,1.00E+03,25.38911462,35.54466176
8,1.00E+03,25.38911462,17.03113103
16,1.00E+03,25.38911462,8.498406887
2,1.00E+06,26.72122955,72331.13921
4,1.00E+06,26.72122955,37290.05774
8,1.00E+06,26.72122955,15320.89695
16,1.00E+06,26.72122955,7673.768852
2,1.00E+05,26.72122955,7196.94022
4,1.00E+05,26.72122955,3741.054343
8,1.00E+05,26.72122955,1535.29212
16,1.00E+05,26.72122955,766.6807277
2,1.00E+04,26.72122955,708.889339
4,1.00E+04,26.72122955,374.718802
8,1.00E+04,26.72122955,153.3413491
16,1.00E+04,26.72122955,76.69631553
2,1.00E+03,26.72122955,71.05753469
4,1.00E+03,26.72122955,37.16046882
8,1.00E+03,26.72122955,15.26745558
16,1.00E+03,26.72122955,9.295097828
2,1.00E+06,28.06123209,74917.56517
4,1.00E+06,28.06123209,39562.29484
8,1.00E+06,28.06123209,22158.9481
16,1.00E+06,28.06123209,11053.87169
2,1.00E+05,28.06123209,7451.268966
4,1.00E+05,28.06123209,3931.529677
8,1.00E+05,28.06123209,2217.180215
16,1.00E+05,28.06123209,1106.271283
2,1.00E+04,28.06123209,744.2220762
4,1.00E+04,28.06123209,392.9923983
8,1.00E+04,28.06123209,221.8362675
16,1.00E+04,28.06123209,110.5489893
2,1.00E+03,28.06123209,74.42456579
4,1.00E+03,28.06123209,40.24307728
8,1.00E+03,28.06123209,19.98867488
16,1.00E+03,28.06123209,9.945426941
2,1.00E+06,28.06123209,80237.72361
4,1.00E+06,29.87360716,29464.69912
8,1.00E+06,29.87360716,20414.27783
16,1.00E+06,29.87360716,10254.43609
2,1.00E+05,29.87360716,7909.657206
4,1.00E+05,29.87360716,2944.744032
8,1.00E+05,29.87360716,2040.843325
16,1.00E+05,29.87360716,1026.700346
2,1.00E+04,29.87360716,808.6899443
4,1.00E+04,29.87360716,291.5103137
8,1.00E+04,29.87360716,204.7170479
16,1.00E+04,29.87360716,103.1195631
2,1.00E+03,29.87360716,79.13561869
4,1.00E+03,29.87360716,30.15349054
8,1.00E+03,29.87360716,23.39469552
16,1.00E+03,29.87360716,10.11416745
2,1.00E+06,31.26148725,82706.32304
4,1.00E+06,31.26148725,43743.91041
8,1.00E+06,31.26148725,17767.28197
16,1.00E+06,31.26148725,12988.02812
2,1.00E+05,31.26148725,8266.73117
4,1.00E+05,31.26148725,4346.112632
8,1.00E+05,31.26148725,1784.457125
16,1.00E+05,31.26148725,1447.669133
2,1.00E+04,31.26148725,827.4310153
4,1.00E+04,31.26148725,429.3950918
8,1.00E+04,31.26148725,178.5498781
16,1.00E+04,31.26148725,145.2855501
2,1.00E+03,31.26148725,85.16164398
4,1.00E+03,31.26148725,42.28413939
8,1.00E+03,31.26148725,24.40277505
16,1.00E+03,31.26148725,12.26643658
2,1.00E+06,32.96241546,86859.71817
4,1.00E+06,32.96241546,45052.65177
8,1.00E+06,32.96241546,19080.55576
16,1.00E+06,32.96241546,11051.10928
2,1.00E+05,32.96241546,8912.688756
4,1.00E+05,32.96241546,4534.10598
8,1.00E+05,32.96241546,1914.062974
16,1.00E+05,32.96241546,1105.562684
2,1.00E+04,32.96241546,920.0741367
4,1.00E+04,32.96241546,453.3855665
8,1.00E+04,32.96241546,191.2686465
16,1.00E+04,32.96241546,110.5857027
2,1.00E+03,32.96241546,87.23588538
4,1.00E+03,32.96241546,44.72325015
8,1.00E+03,32.96241546,22.81986952
16,1.00E+03,32.96241546,8.134768486
2,1.00E+06,36.35228753,116508.3309
4,1.00E+06,36.35228753,50484.25288
8,1.00E+06,36.35228753,24815.44555
16,1.00E+06,36.35228753,12496.18631
2,1.00E+05,36.35228753,11639.16377
4,1.00E+05,36.35228753,5059.698589
8,1.00E+05,36.35228753,2478.379182
16,1.00E+05,36.35228753,1254.290085
2,1.00E+04,36.35228753,1152.870374
4,1.00E+04,36.35228753,505.2148075
8,1.00E+04,36.35228753,244.3646436
16,1.00E+04,36.35228753,126.5034561
2,1.00E+03,36.35228753,93.91951394
4,1.00E+03,36.35228753,48.1758101
8,1.00E+03,36.35228753,28.24439287
16,1.00E+03,36.35228753,10.26146102
2,1.00E+06,37.75898576,104135.3439
4,1.00E+06,37.75898576,50817.40085
8,1.00E+06,37.75898576,24964.71519
16,1.00E+06,37.75898576,14102.90833
2,1.00E+05,37.75898576,10377.4162
4,1.00E+05,37.75898576,5084.532692
8,1.00E+05,37.75898576,2491.881388
16,1.00E+05,37.75898576,1411.812096
2,1.00E+04,37.75898576,1028.767976
4,1.00E+04,37.75898576,508.2707539
8,1.00E+04,37.75898576,249.0207462
16,1.00E+04,37.75898576,141.0576828
2,1.00E+03,37.75898576,101.8021994
4,1.00E+03,37.75898576,53.17067814
8,1.00E+03,37.75898576,30.51280689
16,1.00E+03,37.75898576,10.85576272
2,1.00E+03,58.25871515,160.9186361
4,1.00E+03,58.25871515,82.88415146
8,1.00E+03,58.25871515,40.94915628
16,1.00E+03,58.25871515,14.88153887
2,1.00E+03,94.99852514,271.2362483
4,1.00E+03,94.99852514,134.8981833
8,1.00E+03,94.99852514,55.5613544
16,1.00E+03,94.99852514,32.57883596
2,1.00E+03,141.1631372,379.6083996
4,1.00E+03,141.1631372,198.6658108
8,1.00E+03,141.1631372,111.910929
16,1.00E+03,141.1631372,47.93238616
